Season,Matchday,Date,Home_Team,Away_Team,Score,Attendance,Home_Goals,Away_Goals,Target,Home_Team_Points,Away_Team_Points,Home_Form_5,Away_Form_5,Home_Rank,Away_Rank
2010,6,2010-10-18,Bnei Yehuda Tel Aviv,Beitar Jerusalem,2:1,0,2.0,1.0,0,5,4,5,4,13,14
2010,7,2010-10-23,Maccabi Tel Aviv,Hapoel Ramat Gan,2:0,0,2.0,0.0,0,12,5,12,4,3,13
2010,7,2010-10-23,Hapoel Acre,Bnei Yehuda Tel Aviv,3:1,0,3.0,1.0,0,6,8,6,7,11,10
2010,7,2010-10-23,Ironi Kiryat Shmona,Hapoel Ashkelon,2:2,0,2.0,2.0,1,16,9,13,6,1,9
2010,7,2010-10-23,Maccabi Netanya,Hapoel Haifa,1:1,0,1.0,1.0,1,11,9,8,6,4,9
2010,7,2010-10-23,Hapoel Beer Sheva,Hapoel Petah Tikva,0:0,0,0.0,0.0,1,8,2,5,2,10,15
2010,7,2010-10-23,Maccabi Haifa,FC Ashdod,1:1,8000,1.0,1.0,1,14,6,11,3,3,12
2010,7,2010-10-24,Maccabi Petah Tikva,Hapoel Tel Aviv,1:2,0,1.0,2.0,2,10,10,10,10,7,8
2010,7,2010-10-25,Beitar Jerusalem,Ihud Bnei Sakhnin,0:0,0,0.0,0.0,1,4,1,4,1,14,16
2010,8,2010-10-30,FC Ashdod,Beitar Jerusalem,3:0,0,3.0,0.0,0,7,5,3,5,12,13
2010,8,2010-10-30,Hapoel Acre,Ironi Kiryat Shmona,3:0,0,3.0,0.0,0,9,17,8,13,10,1
2010,8,2010-10-30,Hapoel Ashkelon,Maccabi Netanya,0:4,0,0.0,4.0,2,10,12,7,8,8,6
2010,8,2010-10-30,Hapoel Ramat Gan,Maccabi Petah Tikva,0:2,0,0.0,2.0,2,5,10,4,10,14,9
2010,8,2010-10-30,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,2:0,0,2.0,0.0,0,8,2,4,1,12,16
2010,8,2010-10-30,Hapoel Tel Aviv,Hapoel Beer Sheva,3:2,0,3.0,2.0,0,13,9,10,6,6,12
2010,8,2010-10-31,Hapoel Petah Tikva,Maccabi Haifa,0:1,5000,0.0,1.0,2,3,15,2,9,15,4
2010,8,2010-11-01,Hapoel Haifa,Maccabi Tel Aviv,0:0,0,0.0,0.0,1,10,15,4,12,9,5
2010,9,2010-11-06,Beitar Jerusalem,Hapoel Petah Tikva,0:2,0,0.0,2.0,2,5,3,5,2,13,15
2010,9,2010-11-06,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,2:2,0,2.0,2.0,1,17,11,10,7,2,9
2010,9,2010-11-06,Maccabi Petah Tikva,Hapoel Haifa,2:3,0,2.0,3.0,2,13,11,10,2,6,9
